word,tmin,order,logfrqhal,sndpwr,phrases,bin
never,28.28547678,1595,12.62,0.000034335,2,two
forgotten,28.64409378,1596,9.31,0.0039654,1,one
that,29.25470578,1597,15.48,0.0021077,1,one
if,29.45824378,1598,14.65,0.0042923,1,one
you,29.60191678,1599,15.43,0.000058221,2,two
drink,29.74559078,1600,9.9,0.0011799,1,one
much,30.14069278,1601,13.09,0.0029628,1,one
from,30.46395778,1602,14.45,1.1416E-06,1,one
a,30.60070978,1603,16.18,4.8036E-07,1,one
bottle,30.66780778,1604,9.83,3.3243E-07,1,one
marked,31.05062478,1605,9.64,0.00040577,1,one
poison,31.44182278,1606,8.54,0.0047015,7,three+
it,32.34368578,1607,15.37,0.0036449,2,two
’s,32.44232778,1608,15.68,0.00031665,1,one
almost,32.52403678,1609,11.62,0.015058,1,one
certain,32.97824378,1610,11.31,0.001381,2,two
to,33.36137278,1611,16.35,1.1654E-06,1,one
disagree,33.49307378,1612,10.15,5.3801E-07,1,one
with,34.04382178,1613,14.97,0.013596,1,one
you,34.21144078,1614,15.43,0.0016659,6,three+
sooner,34.37905978,1615,8.91,0.01437,1,one
or,34.78613478,1616,14.78,0.0027867,1,one
later,34.88191678,1617,11.59,0.0040793,9,three+
However,36.83348178,1618,12.35,0.00014273,2,two
this,37.27647478,1619,14.99,0.000042425,1,one
bottle,37.53987678,1620,9.83,0.0029316,2,two
was,37.86314178,1621,14.56,0.0023503,1,one
not,38.05395178,1622,14.77,0.0025158,1,one
marked,38.40191678,1623,9.64,2.4643E-07,1,one
poison,38.76524378,1624,8.54,4.172E-07,2,two
so,39.51538678,1625,14.05,5.8474E-06,1,one
Alice,39.71759178,1626,8.65,0.0071207,1,one
ventured,40.16191678,1627,6.39,0.00018347,1,one
to,40.52110078,1628,16.35,0.019445,1,one
taste,40.62885578,1629,9.89,0.016451,1,one
it,41.07184878,1630,15.37,0.0015801,5,three+
and,41.65851578,1631,16.19,0.0031035,1,one
finding,41.83810778,1632,10.39,0.00033029,1,one
it,42.28110078,1633,15.37,0.0012771,2,two
very,42.48463778,1634,13.28,0.014452,1,one
nice,42.92763178,1635,11.64,0.0021743,13,three+
it,43.77769978,1636,15.37,0.014413,2,two
had,43.92081278,1637,13.53,0.0024229,1,one
in,44.31647478,1638,15.9,0.012099,1,one
fact,44.49606678,1639,12.13,0.00025145,4,three+
a,45.05878778,1640,16.18,0.0076496,1,one
sort,45.12206978,1641,11.28,0.0011323,2,two
